X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
69.8212,-36.9038,155.035,0.0696678,0.0324266,-0.997043,4.881,0.537,-27
67.5687,-43.3472,141.648,0.512585,0.857689,-0.0403155,5.22,0.117,-65
70.754,-38.5776,155.068,0.0276113,0.0218332,-0.99938,5.187,0.687,-27
66.8933,-40.7549,145.37,0.681188,0.141858,-0.718233,5.532,0.081,-65
68.2055,-44.941,141.727,0.483015,0.872562,-0.0730228,5.688,0.225,-70
72.1784,-38.4083,155.403,-0.0173362,-0.00962167,-0.999803,4.935,0.546,-22
65.0447,-41.9591,151.334,0.470357,0.282001,-0.836206,5.316,0.045,-10000
68.0129,-51.3964,142.682,0.229141,0.917457,-0.325218,5.706,0.036,-10000
73.0552,-35.6183,143.388,-0.230585,-0.247897,-0.940945,4.779,0.06,-10000
65.6478,-40.576,149.597,0.391975,0.294803,-0.871462,4.941,0.039,-10000
68.2697,-50.0381,140.579,0.163676,0.941542,-0.294463,5.436,0.042,-10000
70.1402,-42.5275,138.766,0.304555,0.939024,-0.159624,5.349,0.051,-10000
76.6495,-35.83,137.805,-0.775229,0.420351,-0.471514,5.109,0.078,-10000
66.6651,-37.1145,147.202,0.312406,0.296316,-0.902552,5.319,0.051,-10000
68.3351,-46.7047,137.938,0.190704,0.929024,-0.31709,5.823,0.039,-10000
70.2883,-39.2463,135.964,0.298156,0.937957,-0.177031,5.577,0.063,-10000
66.9263,-32.9027,144.971,0.295655,0.285713,-0.911568,4.947,0.039,-10000
67.8542,-42.3543,135.805,0.29562,0.878002,-0.37646,5.574,0.075,-10000
70.3267,-35.1341,133.614,0.323607,0.930331,-0.172518,5.34,0.087,-10000
79.8439,-34.8314,134.577,-0.0159981,0.895396,-0.444982,4.095,0.534,7
73.1766,-25.5995,135.052,-0.306648,-0.336091,-0.890511,4.668,0.453,8
65.9414,-31.1356,141.882,0.346923,0.325352,-0.879654,4.734,0.051,-10000
66.5425,-39.9435,132.888,0.346518,0.875651,-0.336394,5.415,0.06,-10000
69.4525,-32.8212,130.832,0.381776,0.906913,-0.178201,5.07,0.108,-10000
65.0778,-31.9555,139.616,0.329747,0.334608,-0.882782,5.457,0.036,-10000
65.2194,-40.3662,130.475,0.33576,0.89399,-0.296727,6.123,0.039,-10000
68.0953,-29.4455,131.714,0.401196,0.208532,-0.89194,5.22,0.075,-10000
64.1782,-40.0602,129.232,0.473307,0.85312,-0.219468,5.937,0.045,-10000
67.9677,-33.2023,127.627,0.474145,0.861463,-0.181847,5.76,0.114,-55
75.8519,-29.3859,127.471,-0.907659,0.381771,-0.174375,4.755,0.213,-16
75.7236,-23.8,138.46,-0.32601,-0.14791,-0.933724,5.088,0.15,4
65.4505,-30.5271,138.8,0.309269,0.282287,-0.908112,5.352,0.039,-10000
72.5079,-24.8431,130.959,-0.397998,-0.353296,-0.846628,4.917,0.081,-10000
65.3154,-29.4644,138.524,0.3188,0.278097,-0.906106,5.061,0.048,-10000
63.8865,-38.5005,129.293,0.464378,0.827501,-0.315587,5.946,0.06,-71
76.7844,-38.1988,122.585,-0.45185,0.881396,0.137741,5.154,0.411,-38
79.9138,-34.096,128.19,-0.259384,0.894717,-0.363595,4.287,0.609,-5
75.3435,-29.0629,126.349,-0.905636,0.408393,-0.114187,4.908,0.156,-10
64.5855,-30.2861,137.801,0.341561,0.301495,-0.890189,5.544,0.024,-10000
62.9431,-38.607,128.284,0.518184,0.82019,-0.242433,6.336,0.042,-10000
67.1691,-32.0378,126.579,0.538477,0.822354,-0.183785,6.252,0.099,-59
67.8699,-28.0452,130.762,0.395998,0.164777,-0.903346,5.325,0.081,-10000
72.984,-31.6174,123.879,-0.475488,0.844988,0.244756,5.886,0.132,-10000
77.087,-39.4854,123.493,-0.504065,0.857285,0.104795,5.28,0.309,-39
73.0461,-32.7159,124.756,-0.50664,0.835904,0.211139,5.469,0.153,-10000
72.4699,-26.0176,130.855,-0.439234,-0.345656,-0.829214,4.722,0.075,-10000
73.4872,-35.3445,126.083,-0.554892,0.809741,0.190826,6.663,0.099,-10000
72.5404,-28.9704,132.191,-0.416686,-0.30378,-0.856791,5.409,0.12,-10000
64.9755,-33.1595,139.662,0.323573,0.242266,-0.914663,5.73,0.027,-10000
67.8642,-31.6501,132.381,0.39909,0.135409,-0.906858,5.946,0.072,-10000
67.3989,-35.5755,128.391,0.529808,0.819657,-0.217868,6.726,0.102,-64
76.759,-44.172,125.736,-0.368049,0.912849,0.176767,6.243,0.33,-62
